family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
TMED6,Bacteria,7,1320958903,Bacteria;Marinisomatota;Marinisomatia;SCGC-AAA003-L08;TMED6,superkingdom;phylum;class;order;family,81602897;576088655;771908383;1865301283;1320958903
CAIOSU01,Bacteria,7,945046508,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;CAIOSU01,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;945046508
J058,Bacteria,7,1146786066,Bacteria;Planctomycetota;J058;J058;J058,superkingdom;phylum;class;order;family,81602897;678426958;904165171;813485905;1146786066
SOIM01,Archaea,7,1378765910,Archaea;Thermoplasmatota;Thermoplasmata;RBG-16-68-12;SOIM01,superkingdom;phylum;class;order;family,1337977286;1319660302;1680928555;1121932595;1378765910
BP-133,Bacteria,7,1378280927,Bacteria;Actinomycetota;Acidimicrobiia;IMCC26256;BP-133,superkingdom;phylum;class;order;family,81602897;922471546;377422747;170155244;1378280927
JAJZQI01,Bacteria,7,759378377,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;JAJZQI01,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;759378377
CAIRYL01,Bacteria,7,1485942125,Bacteria;Patescibacteriota;Gracilibacteria;CAIRYL01;CAIRYL01,superkingdom;phylum;class;order;family,81602897;1184272463;168402977;302046595;1485942125
S145-22,Bacteria,7,1483604179,Bacteria;Desulfobacterota;S145-22;S145-22,superkingdom;phylum;class;order,81602897;1568916253;77930504;1483604179
Desulfonauticaceae,Bacteria,7,1787104706,Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfonauticaceae,superkingdom;phylum;class;order;family,81602897;1228655830;1240458731;1845795526;1787104706
UBA6065,Bacteria,7,1731921607,Bacteria;Patescibacteriota;Minisyncoccia;UBA9973;UBA6065,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;168137696;1731921607
VGOW01,Bacteria,7,589713976,Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;VGOW01,superkingdom;phylum;class;order;family,81602897;510129959;1559853718;32034231;589713976
H5-PLA8,Bacteria,7,1632528267,Bacteria;Planctomycetota;SZUA-567;H5-PLA8;H5-PLA8,superkingdom;phylum;class;order;family,81602897;678426958;315360471;16444458;1632528267
UBA6266,Bacteria,7,952282707,Bacteria;UBA6266;UBA6266;UBA6266;UBA6266,superkingdom;phylum;class;order;family,81602897;499903500;903182797;1074916432;952282707
CAIKAW01,Bacteria,7,555354686,Bacteria;Actinomycetota;Actinomycetes;S36-B12;CAIKAW01,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1592431953;555354686
JAHWKZ01,Bacteria,7,727934987,Bacteria;Gemmatimonadota;Gemmatimonadetes;JACCXV01;JAHWKZ01,superkingdom;phylum;class;order;family,81602897;460251340;1277029043;547204350;727934987
S140-43,Bacteria,7,1982439926,Bacteria;Pseudomonadota;Gammaproteobacteria;S140-43;S140-43,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;711060956;1982439926
JABWAM01,Bacteria,7,1438618131,Bacteria;Verrucomicrobiota;Verrucomicrobiia;JABWAM01,superkingdom;phylum;class;order,81602897;605906842;1950791653;1438618131
VGJW01,Bacteria,7,1194280725,Bacteria;Cyanobacteriota;Sericytochromatia;S15B-MN24;VGJW01,superkingdom;phylum;class;order;family,81602897;15887558;921178538;2069059445;1194280725
Maliibacteriaceae,Bacteria,7,1723923260,Bacteria;Bacillota;Clostridia;Christensenellales;Maliibacteriaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1723923260
ARS21,Archaea,7,1433704142,Archaea;Nanobdellota;Nanobdellia;UBA10117;ARS21,superkingdom;phylum;class;order;family,1337977286;1140734311;507132679;489446204;1433704142
2-02-FULL-40-12,Bacteria,7,1449675966,Bacteria;Patescibacteriota;Minisyncoccia;2-02-FULL-40-12;2-02-FULL-40-12,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;715973932;1449675966
JAHIPI01,Bacteria,7,47747267,Bacteria;Omnitrophota;Koll11;JAHIPI01;JAHIPI01,superkingdom;phylum;class;order;family,81602897;1725231264;1822347176;66560189;47747267
UBA1877,Bacteria,7,1044215321,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;UBA1877,superkingdom;phylum;class;order;family,81602897;1536518028;1492690008;536303497;1044215321
Sediminispirochaetaceae,Bacteria,7,847509904,Bacteria;Spirochaetota;Spirochaetia;DSM-16054;Sediminispirochaetaceae,superkingdom;phylum;class;order;family,81602897;39784000;1693206508;1991720877;847509904
BMS3Bbin08,Bacteria,7,788639684,Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902;BMS3Bbin08,superkingdom;phylum;class;order;family,81602897;1669227019;2101698029;9745080;788639684
TC1,Bacteria,7,1602288922,Bacteria;Bacillota;TC1,superkingdom;phylum;class,81602897;131003083;1602288922
JACPRH01,Archaea,7,363262817,Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;JACPRH01,superkingdom;phylum;class;order;family,1337977286;1464800560;283310308;1470417323;363262817
Desulfurellaceae,Bacteria,7,761292013,Bacteria;Campylobacterota;Desulfurellia;Desulfurellales;Desulfurellaceae,superkingdom;phylum;class;order;family,81602897;1536518028;383627759;154090800;761292013
QNBC01,Bacteria,7,1587240744,Bacteria;WOR-3;32-111;QNBC01;QNBC01,superkingdom;phylum;class;order;family,81602897;181805123;345082617;77989633;1587240744
UBA7683,Bacteria,7,868512870,Bacteria;Patescibacteriota;Saccharimonadia;Saccharimonadales;UBA7683,superkingdom;phylum;class;order;family,81602897;1184272463;1377863046;1184711150;868512870
Methanonatronarchaeaceae,Archaea,7,508576689,Archaea;Halobacteriota;Methanonatronarchaeia;Methanonatronarchaeales;Methanonatronarchaeaceae,superkingdom;phylum;class;order;family,1337977286;187206606;79378923;1143028814;508576689
GCA-002691585,Bacteria,7,187508411,Bacteria;Pseudomonadota;Gammaproteobacteria;Comchoanobacterales;GCA-002691585,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1382150283;187508411
CAILMK01,Bacteria,7,1874583906,Bacteria;Bacteroidota;Bacteroidia;CAILMK01,superkingdom;phylum;class;order,81602897;504177835;618517539;1874583906
JAAZOE01,Bacteria,7,312244344,Bacteria;Zixibacteria;MSB-5A5;GN15;JAAZOE01,superkingdom;phylum;class;order;family,81602897;1019969701;812696870;11650451;312244344
UBA10110,Bacteria,7,525520781,Bacteria;Patescibacteriota;Kazan-3B-28;Kazan-3B-28;UBA10110,superkingdom;phylum;class;order;family,81602897;1184272463;2073640006;1600942471;525520781
JADJPF01,Bacteria,7,800246166,Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;JADJPF01,superkingdom;phylum;class;order;family,81602897;884358093;348311540;2081477797;800246166
QS-9-68-17,Archaea,7,455768420,Archaea;Halobacteriota;Halobacteria;Halobacteriales;QS-9-68-17,superkingdom;phylum;class;order;family,1337977286;187206606;695512539;1630249217;455768420
CG1-02-43-26,Bacteria,7,1513262287,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;CG1-02-43-26,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;775196229;1513262287
BM003,Bacteria,7,1084474030,Bacteria;Pseudomonadota;Gammaproteobacteria;BM003;BM003,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;670862176;1084474030
CAITLU01,Bacteria,7,327974494,Bacteria;Desulfobacterota_B;Binatia;UBA1149;CAITLU01,superkingdom;phylum;class;order;family,81602897;1287136731;1684752584;449975511;327974494
Aminiphilaceae,Bacteria,7,1953328682,Bacteria;Synergistota;Synergistia;Synergistales;Aminiphilaceae,superkingdom;phylum;class;order;family,81602897;265651168;932495695;353319153;1953328682
Nanoanaerosalinaceae,Archaea,7,262778065,Archaea;Nanohalarchaeota;Nanosalinia;Nanosalinales;Nanoanaerosalinaceae,superkingdom;phylum;class;order;family,1337977286;350018389;1155146620;1728754292;262778065
FEN-1346,Bacteria,7,1250760144,Bacteria;Planctomycetota;Phycisphaerae;FEN-1346,superkingdom;phylum;class;order,81602897;678426958;623639364;1250760144
JADFOP01,Bacteria,7,231213214,Bacteria;JADFOP01;JADFOP01;JADFOP01;JADFOP01,superkingdom;phylum;class;order;family,81602897;771738236;900909334;2085849927;231213214
4572-78,Bacteria,7,1228216616,Bacteria;Chloroflexota;Anaerolineae;4572-78;4572-78,superkingdom;phylum;class;order;family,81602897;510129959;1559853718;1427691630;1228216616
WJJG01,Bacteria,7,1466965464,Bacteria;Eisenbacteria;RBG-16-71-46;CAIMUX01;WJJG01,superkingdom;phylum;class;order;family,81602897;1574484843;1360645095;1331073951;1466965464
JAHEIW01,Bacteria,7,472986282,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;JAHEIW01,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;100205859;472986282
H02-45-13,Bacteria,7,448563624,Bacteria;Patescibacteriota;Minisyncoccia;Ryanbacterales;H02-45-13,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;1350983952;448563624
SpSt-28,Archaea,7,164704435,Archaea;Aenigmatarchaeota;Aenigmatarchaeia;CG10238-14;SpSt-28,superkingdom;phylum;class;order;family,1337977286;1072557490;1239923569;1118407953;164704435
DRHN01,Bacteria,7,1643939646,Bacteria;Spirochaetota;B62-G9;B62-G9;DRHN01,superkingdom;phylum;class;order;family,81602897;39784000;1734490691;1943021745;1643939646
UBA6099,Bacteria,7,827966516,Bacteria;UBP15;UBA6099;UBA6099;UBA6099,superkingdom;phylum;class;order;family,81602897;1681209269;1225855210;1187268354;827966516
JAMCYS01,Bacteria,7,1552174910,Bacteria;Chloroflexota;FW602-bin22;FW602-bin22;JAMCYS01,superkingdom;phylum;class;order;family,81602897;510129959;399967216;624730634;1552174910
WO2-46-25,Bacteria,7,1879530011,Bacteria;Patescibacteriota;Minisyncoccia;GWC2-36-17;WO2-46-25,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;656226782;1879530011
AUK180,Bacteria,7,1902964060,Bacteria;AUK180;AUK180;AUK180;AUK180,superkingdom;phylum;class;order;family,81602897;250101779;64897577;1840369129;1902964060
UBA5177,Bacteria,7,1494730650,Bacteria;Chloroflexota;UBA5177;UBA5177;UBA5177,superkingdom;phylum;class;order;family,81602897;510129959;1526277506;601288768;1494730650
PNNO01,Bacteria,7,391188334,Bacteria;Patescibacteriota;Gracilibacteria;UBA1369;PNNO01,superkingdom;phylum;class;order;family,81602897;1184272463;168402977;877497354;391188334
UBA9980,Bacteria,7,676332479,Bacteria;Muiribacteriota;UBA9980;UBA9980;UBA9980,superkingdom;phylum;class;order;family,81602897;2133630180;223316547;1005185205;676332479
JACDBH01,Bacteria,7,685838887,Bacteria;Patescibacteriota;Saccharimonadia;Saccharimonadales;JACDBH01,superkingdom;phylum;class;order;family,81602897;1184272463;1377863046;1184711150;685838887
Thermodesulfobiaceae,Bacteria,7,1524238414,Bacteria;Thermodesulfobiota;Thermodesulfobiia;Thermodesulfobiales;Thermodesulfobiaceae,superkingdom;phylum;class;order;family,81602897;964916033;1107306817;1435509692;1524238414
Caenarcanaceae,Bacteria,7,852049947,Bacteria;Cyanobacteriota;Vampirovibrionia;Caenarcaniphilales;Caenarcanaceae,superkingdom;phylum;class;order;family,81602897;15887558;2041553581;1540261322;852049947
UBA5616,Bacteria,7,1121560362,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;UBA5616,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;100205859;1121560362
UBA1709,Bacteria,7,54191947,Bacteria;Bacillota;Bacilli;RFN20;UBA1709,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1827297323;54191947
JAJZUU01,Bacteria,7,1562210978,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;JAJZUU01,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;1562210978
SIBH01,Bacteria,7,1387057328,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Limisphaerales;SIBH01,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;1197035220;1387057328
Paracaedibacteraceae,Bacteria,7,571370971,Bacteria;Pseudomonadota;Alphaproteobacteria;Paracaedibacterales;Paracaedibacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1972003675;571370971
47-G6,Archaea,7,1055864406,Archaea;Thermoplasmatota;B47-G6;B47-G6B;47-G6,superkingdom;phylum;class;order;family,1337977286;1319660302;685758929;823564156;1055864406
B51-G9,Bacteria,7,1759470562,Bacteria;UBA3054;UBA3054;UBA3054;B51-G9,superkingdom;phylum;class;order;family,81602897;294054864;918758023;1766246859;1759470562
Methanoliparaceae,Archaea,7,1758561946,Archaea;Halobacteriota;Methanoliparia;Methanoliparales;Methanoliparaceae,superkingdom;phylum;class;order;family,1337977286;187206606;2025729901;1415281882;1758561946
Oceanimicrobiaceae,Bacteria,7,1754983451,Bacteria;Zhuqueibacterota;Zhuqueibacteria;Oceanimicrobiales;Oceanimicrobiaceae,superkingdom;phylum;class;order;family,81602897;807627558;1899390737;27124389;1754983451
WANQ01,Archaea,7,105370551,Archaea;Thermoproteota;Thermoprotei_A;Sulfolobales;WANQ01,superkingdom;phylum;class;order;family,1337977286;1464800560;2007172793;1518782427;105370551
UBA11222,Bacteria,7,1465039730,Bacteria;Pseudomonadota;Alphaproteobacteria;UBA11222;UBA11222,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;689810857;1465039730
Haiyanarchaeaceae,Archaea,7,124080511,Archaea;Nanobdellota;Nanobdellia;JAPDLS01;Haiyanarchaeaceae,superkingdom;phylum;class;order;family,1337977286;1140734311;507132679;1806923673;124080511
DSPA01,Bacteria,7,1956065495,Bacteria;Acidobacteriota;Terriglobia;Terriglobales;DSPA01,superkingdom;phylum;class;order;family,81602897;884358093;1682859313;352038178;1956065495
CAIQNR01,Bacteria,7,751067115,Bacteria;Babelota;Babeliae;Babelales;CAIQNR01,superkingdom;phylum;class;order;family,81602897;812094793;2020026408;1985852393;751067115
2-02-FULL-44-16,Bacteria,7,756639051,Bacteria;UBA10199;UBA10199;2-02-FULL-44-16;2-02-FULL-44-16,superkingdom;phylum;class;order;family,81602897;377335207;1956990809;998479912;756639051
JABWCH01,Bacteria,7,1505878361,Bacteria;Planctomycetota;Uabimicrobiia;Uabimicrobiales;JABWCH01,superkingdom;phylum;class;order;family,81602897;678426958;1256280689;913170868;1505878361
JAHJDO01,Bacteria,7,2122727740,Bacteria;JAHJDO01,superkingdom;phylum,81602897;2122727740
1604HC,Bacteria,7,1421590683,Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;1604HC,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1739444295;1421590683
HXMU1428-3,Bacteria,7,1420770670,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;HXMU1428-3,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;1420770670
UBA168,Archaea,7,451475168,Archaea;Thermoproteota;Thermoprotei_A;Marsarchaeales;UBA168,superkingdom;phylum;class;order;family,1337977286;1464800560;2007172793;820636027;451475168
JAKIUO01,Bacteria,7,1055870943,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;JAKIUO01,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;1055870943
UBA3254,Bacteria,7,718507436,Bacteria;Chloroflexota;Dehalococcoidia;Dehalococcoidales;UBA3254,superkingdom;phylum;class;order;family,81602897;510129959;1736958301;1217821002;718507436
UBA12445,Bacteria,7,377867844,Bacteria;Patescibacteriota;Minisyncoccia;UBA9973;UBA12445,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;168137696;377867844
JAAYDE01,Bacteria,7,914872235,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;JAAYDE01,superkingdom;phylum;class;order;family,81602897;1568916253;291722853;169199139;914872235
JADJQN01,Bacteria,7,374332575,Bacteria;Myxococcota;Polyangia;Polyangiales;JADJQN01,superkingdom;phylum;class;order;family,81602897;1995082271;1758649255;1421937944;374332575
Trichloromonadaceae,Bacteria,7,708844741,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Trichloromonadaceae,superkingdom;phylum;class;order;family,81602897;1568916253;291722853;169199139;708844741
B14-G1,Bacteria,7,715273972,Bacteria;Thermosulfidibacterota;Thermosulfidibacteria;Thermosulfidibacterales;B14-G1,superkingdom;phylum;class;order;family,81602897;1976045203;1955329896;1189702671;715273972
2013Ark19i,Bacteria,7,267972112,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;2013Ark19i,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;267972112
2-12-FULL-67-15,Bacteria,7,1088299298,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;2-12-FULL-67-15,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1087042544;1088299298
Propionisporaceae,Bacteria,7,848585356,Bacteria;Bacillota;Negativicutes;Propionisporales;Propionisporaceae,superkingdom;phylum;class;order;family,81602897;131003083;440945044;1326132339;848585356
Lentisphaeraceae,Bacteria,7,319529470,Bacteria;Verrucomicrobiota;Lentisphaeria;Lentisphaerales;Lentisphaeraceae,superkingdom;phylum;class;order;family,81602897;605906842;1467290489;456543502;319529470
Acidothermaceae,Bacteria,7,2088988400,Bacteria;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;567043938;2088988400
JADFVY01,Bacteria,7,963217412,Bacteria;Pseudomonadota;Alphaproteobacteria;UBA8366;JADFVY01,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1235145413;963217412
UBA10003,Bacteria,7,1033550998,Bacteria;Patescibacteriota;Patescibacteriia;Magasanikbacterales;UBA10003,superkingdom;phylum;class;order;family,81602897;1184272463;965080414;255005191;1033550998
16-39-46,Bacteria,7,1898416965,Bacteria;Pseudomonadota;Alphaproteobacteria;16-39-46,superkingdom;phylum;class;order,81602897;1712663402;623498299;1898416965
Sedimentisphaeraceae,Bacteria,7,1537000325,Bacteria;Planctomycetota;Phycisphaerae;Sedimentisphaerales;Sedimentisphaeraceae,superkingdom;phylum;class;order;family,81602897;678426958;623639364;208244486;1537000325
GBS-1,Bacteria,7,5482276,Bacteria;Synergistota;GBS-1;GBS-1;GBS-1,superkingdom;phylum;class;order;family,81602897;265651168;1352882647;237080631;5482276
JACMRA01,Bacteria,7,1931860899,Bacteria;Patescibacteriota;JACMRA01,superkingdom;phylum;class,81602897;1184272463;1931860899
CG2-30-59-28,Bacteria,7,1929071744,Bacteria;Armatimonadota;Abditibacteriia;CG2-30-59-28,superkingdom;phylum;class;order,81602897;386011820;1912101171;1929071744
GWF2-39-127,Bacteria,7,1129079983,Bacteria;Margulisbacteria;Riflemargulisbacteria;GWF2-39-127;GWF2-39-127,superkingdom;phylum;class;order;family,81602897;134569813;402854194;765648788;1129079983
B24,Archaea,7,1169335210,Archaea;Thermoproteota;Bathyarchaeia;B24,superkingdom;phylum;class;order,1337977286;1464800560;230993527;1169335210
2-01-FULL-39-13,Bacteria,7,1060972233,Bacteria;Patescibacteriota;WWE3;2-01-FULL-39-13;2-01-FULL-39-13,superkingdom;phylum;class;order;family,81602897;1184272463;1147046659;564151706;1060972233
Porifericomitaceae,Bacteria,7,70512869,Bacteria;Pseudomonadota;Gammaproteobacteria;Porifericomitales;Porifericomitaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2005864836;70512869
YIM-B00363,Bacteria,7,703490047,Bacteria;Bacillota;Bacilli;Paenibacillales;YIM-B00363,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1391466303;703490047
Freyrarchaeaceae,Archaea,7,216367555,Archaea;Asgardarchaeota;Jordiarchaeia;Jordiarchaeales;Freyrarchaeaceae,superkingdom;phylum;class;order;family,1337977286;613311890;35006345;1753028851;216367555
GCA-2746185,Bacteria,7,1760480250,Bacteria;Hydrogenedentota;Hydrogenedentia;Hydrogenedentales;GCA-2746185,superkingdom;phylum;class;order;family,81602897;2109746193;131931967;2126546794;1760480250
SLMV01,Bacteria,7,2145762511,Bacteria;Bacillota;SLMV01;SLMV01,superkingdom;phylum;class;order,81602897;131003083;432825201;2145762511
JACORV01,Bacteria,7,623792259,Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;JACORV01,superkingdom;phylum;class;order;family,81602897;460251340;1277029043;5514368;623792259
ZCTH02-B6,Bacteria,7,1412792239,Bacteria;Bacillota;Limnochordia;Limnochordales;ZCTH02-B6,superkingdom;phylum;class;order;family,81602897;131003083;1456357158;1916762951;1412792239
CG2-30-33-46,Bacteria,7,2108149489,Bacteria;Patescibacteriota;CPR2_A;CG2-30-33-46;CG2-30-33-46,superkingdom;phylum;class;order;family,81602897;1184272463;1941809263;1764483635;2108149489
Jingweiarchaeaceae,Archaea,7,425774926,Archaea;Nanobdellota;Nanobdellia;Jingweiarchaeales;Jingweiarchaeaceae,superkingdom;phylum;class;order;family,1337977286;1140734311;507132679;1283220152;425774926
XYB2-FULL-49-35,Bacteria,7,612379745,Bacteria;Fibrobacterota;OXYB2-FULL-49-7;OXYB2-FULL-49-7;XYB2-FULL-49-35,superkingdom;phylum;class;order;family,81602897;31572563;1161702525;1008837771;612379745
JAHIHE01,Bacteria,7,2081845154,Bacteria;Patescibacteriota;Minisyncoccia;JAHIHE01;JAHIHE01,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;150415058;2081845154
2-02-FULL-48-16,Bacteria,7,972277430,Bacteria;Patescibacteriota;Minisyncoccia;UBA9973;2-02-FULL-48-16,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;168137696;972277430
Anaeroferrophillaceae,Bacteria,7,970778852,Bacteria;Desulfobacterota;Anaeroferrophillalia;Anaeroferrophillales;Anaeroferrophillaceae,superkingdom;phylum;class;order;family,81602897;1568916253;876797179;57740061;970778852
Labraceae,Bacteria,7,224744782,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Labraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;224744782
Tumebacillaceae,Bacteria,7,1246671154,Bacteria;Bacillota;Bacilli;Tumebacillales;Tumebacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;335676826;1246671154
JAPOUT01,Bacteria,7,1841261593,Bacteria;Pseudomonadota;Alphaproteobacteria;JAPOUT01,superkingdom;phylum;class;order,81602897;1712663402;623498299;1841261593
JAAUTS01,Bacteria,7,1576536888,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Methylacidiphilales;JAAUTS01,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;1970143069;1576536888
MH13,Bacteria,7,549696252,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;MH13,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;549696252
4484-219,Bacteria,7,766800107,Bacteria;Zhuqueibacterota;JdFR-76;JdFR-76;4484-219,superkingdom;phylum;class;order;family,81602897;807627558;1236336745;1290011739;766800107
Hopanoidiivorantaceae,Bacteria,7,1128122965,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Hopanoidiivorantaceae,superkingdom;phylum;class;order;family,81602897;922471546;377422747;1596481911;1128122965
JANBVM01,Bacteria,7,1935317747,Bacteria;Patescibacteriota;Minisyncoccia;Minisyncoccales;JANBVM01,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;1035946494;1935317747
TMED161,Bacteria,7,1770797841,Bacteria;Marinisomatota;Marinisomatia;SCGC-AAA003-L08;TMED161,superkingdom;phylum;class;order;family,81602897;576088655;771908383;1865301283;1770797841
DTEH01,Bacteria,7,1404382908,Bacteria;Elusimicrobiota;Endomicrobiia;DTEH01,superkingdom;phylum;class;order,81602897;848567609;1709754812;1404382908
Hinthialibacteraceae,Bacteria,7,1018127922,Bacteria;Hinthialibacterota;Hinthialibacteria;Hinthialibacterales;Hinthialibacteraceae,superkingdom;phylum;class;order;family,81602897;481250782;852997800;2117770500;1018127922
JAFGRS01,Bacteria,7,1654668438,Bacteria;Verrucomicrobiota;Lentisphaeria;Oligosphaerales;JAFGRS01,superkingdom;phylum;class;order;family,81602897;605906842;1467290489;1869570226;1654668438
JAADGY01,Bacteria,7,2113604517,Bacteria;Patescibacteriota;Microgenomatia;JAADGY01;JAADGY01,superkingdom;phylum;class;order;family,81602897;1184272463;151692982;1167483915;2113604517
DTU014,Bacteria,7,1662797175,Bacteria;Bacillota;DTU014,superkingdom;phylum;class,81602897;131003083;1662797175
DTRM01,Bacteria,6,1014913317,Bacteria;Pseudomonadota;Gammaproteobacteria;DTRM01,superkingdom;phylum;class;order,81602897;1712663402;1969409366;1014913317
GCA-2718715,Bacteria,6,1004214384,Bacteria;Patescibacteriota;Gracilibacteria;UBA1369;GCA-2718715,superkingdom;phylum;class;order;family,81602897;1184272463;168402977;877497354;1004214384
JAGLHV01,Bacteria,6,431854538,Bacteria;UBA6262;JAGLHV01;JAGLHV01;JAGLHV01,superkingdom;phylum;class;order;family,81602897;237476993;226595553;90626970;431854538
MWCZ01,Bacteria,6,530590580,Bacteria;Latescibacterota;MWCZ01;MWCZ01;MWCZ01,superkingdom;phylum;class;order;family,81602897;1408694990;272007456;905364568;530590580
9FT-COMBO-42-15,Bacteria,6,1884024339,Bacteria;Nitrospirota;9FT-COMBO-42-15;9FT-COMBO-42-15;9FT-COMBO-42-15,superkingdom;phylum;class;order;family,81602897;1669227019;1591228030;687557689;1884024339
BOG-932,Bacteria,6,1547268504,Bacteria;Pseudomonadota;Alphaproteobacteria;BOG-932;BOG-932,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1520670261;1547268504
Acidihalobacteraceae,Bacteria,6,2105485286,Bacteria;Pseudomonadota;Gammaproteobacteria;DSM-5130;Acidihalobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;311108444;2105485286
JAJVHW01,Bacteria,6,1653964046,Bacteria;Planctomycetota;JAJSAM01;JAKLKS01;JAJVHW01,superkingdom;phylum;class;order;family,81602897;678426958;357225172;1949625866;1653964046
GW2011-AR10,Archaea,6,165682020,Archaea;Iainarchaeota;Iainarchaeia;Iainarchaeales;GW2011-AR10,superkingdom;phylum;class;order;family,1337977286;395318807;1804854132;1748713395;165682020
GWF2-35-48,Bacteria,6,1405343570,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;GWF2-35-48,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1405343570
BMS3Bbin05,Bacteria,6,489946926,Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;BMS3Bbin05,superkingdom;phylum;class;order;family,81602897;1669227019;2101698029;1387359186;489946926
Rhodobiaceae,Bacteria,6,490184434,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhodobiaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;490184434
GWF2-35-18,Bacteria,6,275019762,Bacteria;Patescibacteriota;CPR3;CPR3;GWF2-35-18,superkingdom;phylum;class;order;family,81602897;1184272463;1646253625;950398328;275019762
Tepidibacillaceae,Bacteria,6,1937859620,Bacteria;Bacillota;Bacilli;Tepidibacillales;Tepidibacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;535526017;1937859620
Aceulaceae,Bacteria,6,858626114,Bacteria;Omnitrophota;Koll11;Zapsychrales;Aceulaceae,superkingdom;phylum;class;order;family,81602897;1725231264;1822347176;603521445;858626114
DSM-103792,Bacteria,6,697890938,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;DSM-103792,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;697890938
