genus,domain,genus_counts,taxid,lineage,lineage_ranks,lineage_taxids
Candidatus Enterenecus,Bacteria,13,2840571.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Candidatus Enterenecus,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;1783272;1239;186801;186802;538999;2840571
Ketobacter,Bacteria,13,2025617.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Ketobacteraceae;Ketobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;72274;3085096;2025617
Pseudotabrizicola,Bacteria,12,2939641.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudotabrizicola,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;2939641
Acidaminobacter,Bacteria,12,65402.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Acidaminobacteraceae;Acidaminobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3082720;3118653;65402
Acidihalobacter,Bacteria,12,1765964.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135613;72276;1765964
Moheibacter,Bacteria,12,1572763.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Moheibacter,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;2762318;1572763
Klenkia,Bacteria,12,2183612.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Klenkia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;1643682;85030;2183612
Symbiopectobacterium,Bacteria,12,801.0,"cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae incertae sedis;ant, tsetse, mealybug, aphid, etc. endosymbionts;Symbiopectobacterium",cellular root;domain;kingdom;phylum;class;order;family;no rank;clade;genus,131567;2;3379134;1224;1236;91347;543;191675;84563;801
Serpentinimonas,Bacteria,12,2490452.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Serpentinimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;80864;2490452
Haematobacter,Bacteria,12,366614.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;366614
Pelagicoccus,Bacteria,12,455433.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Opitutia;Puniceicoccales;Pelagicoccaceae;Pelagicoccus,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;74201;414999;415001;3056372;455433
Kosmotoga,Bacteria,12,651456.0,cellular organisms;Bacteria;Thermotogati;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae;Kosmotoga,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3384194;200918;188708;1643946;1643948;651456
Candidatus Fimadaptatus,Bacteria,12,2840589.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Candidatus Fimadaptatus,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;1783272;1239;186801;186802;538999;2840589
Candidatus Fimimonas,Bacteria,12,2840648.0,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Myxococcaceae;Myxococcaceae incertae sedis;Candidatus Fimimonas,cellular root;domain;kingdom;phylum;class;order;suborder;family;no rank;genus,131567;2;3379134;2818505;32015;29;80811;31;2840500;2840648
Atribacter,Bacteria,12,2847777.0,cellular organisms;Bacteria;Pseudomonadati;Atribacterota;Atribacteria;Atribacterales;Atribacteraceae;Atribacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;67818;2847774;2847775;2847776;2847777
Blastochloris,Bacteria,12,59282.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;2831090;59282
Alkalicoccobacillus,Bacteria,12,2893059.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalicoccobacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;2893059
Alkalihalophilus,Bacteria,12,2893060.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalihalophilus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;2893060
Oligoflexus,Bacteria,12,1553903.0,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;3018035;1553900;1553901;1553902;1553903
Chryseosolibacter,Bacteria,12,2963348.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Chryseosolibacter,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;768503;768507;3141700;2963348
Chryseotalea,Bacteria,12,2682476.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Chryseotalea,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;768503;768507;3141700;2682476
Evansella,Bacteria,12,2837485.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Evansella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;2837485
Desulfurella,Bacteria,12,33001.0,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Desulfurellia;Desulfurellales;Desulfurellaceae;Desulfurella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;29547;3031853;213113;117942;33001
Microtetraspora,Bacteria,12,1995.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Microtetraspora,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85012;2004;1995
Silvanigrella,Bacteria,12,2024975.0,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;3018035;1553900;2024973;2024974;2024975
Litorimonas,Bacteria,12,1167830.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Litorimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;2800059;2800062;1167830
Candidatus Didemnitutus,Bacteria,12,2055839.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Candidatus Didemnitutus,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;74201;414999;415000;134623;2055839
Alkalilimnicola,Bacteria,12,133193.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135613;72276;133193
Xenophilus,Bacteria,12,151754.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Xenophilus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;80864;151754
Ancylomarina,Bacteria,12,1970195.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinifilaceae;Ancylomarina,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;1970189;1573805;1970195
Umezawaea,Bacteria,12,583360.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Umezawaea,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85010;2070;583360
Methanimicrococcus,Archaea,12,91559.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanimicrococcus,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2290931;224756;94695;2206;91559
Simkania,Bacteria,12,34093.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota;Chlamydiia;Parachlamydiales;Simkaniaceae;Simkania,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;204428;204429;1963360;92712;34093
Parafrankia,Bacteria,12,2994362.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Parafrankia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85013;74712;2994362
Saccharococcus,Bacteria,12,29395.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Saccharococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;3120669;29395
Hyunsoonleella,Bacteria,12,1080193.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Hyunsoonleella,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;49546;1080193
Aquaticitalea,Bacteria,12,2034843.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquaticitalea,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;49546;2034843
Anaerosalibacter,Bacteria,12,1347386.0,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Sporanaerobacteraceae;Anaerosalibacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;1737404;1737405;2992718;1347386
Thermoanaerobaculum,Bacteria,12,1434048.0,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;57723;1562571;2562241;2562242;1434048
Halomarina,Archaea,12,871740.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halomarina,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2290931;183963;2235;1963268;871740
Obesumbacterium,Bacteria,12,82982.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Obesumbacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;91347;1903412;82982
Seonamhaeicola,Bacteria,12,1649495.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Seonamhaeicola,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;49546;1649495
Actinoalloteichus,Bacteria,12,65496.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85010;2070;65496
Paracraurococcus,Bacteria,12,77674.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Paracraurococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;3120395;3385906;77674
Candidatus Scatomonas,Bacteria,12,2840617.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae incertae sedis;Candidatus Scatomonas,cellular root;domain;kingdom;phylum;class;order;family;no rank;genus,131567;2;1783272;1239;186801;3085636;186803;2840493;2840617
Brevifollis,Bacteria,12,1383070.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae;Brevifollis,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;74201;203494;48461;203557;1383070
Desulfarculus,Bacteria,12,453229.0,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfarculia;Desulfarculales;Desulfarculaceae;Desulfarculus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200940;3031646;453227;453228;453229
Desulfatiglans,Bacteria,12,1549126.0,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200940;3024418;3024414;3079273;1549126
Hydromonas,Bacteria,12,1910924.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Hydromonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;119060;1910924
Anaerovorax,Bacteria,12,109326.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Anaerovorax,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3082720;543314;109326
Globicatella,Bacteria,12,13075.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Globicatella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;186826;186827;13075
Candidatus Choladousia,Bacteria,12,2840613.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae incertae sedis;Candidatus Choladousia,cellular root;domain;kingdom;phylum;class;order;family;no rank;genus,131567;2;1783272;1239;186801;3085636;186803;2840493;2840613
Natrialba,Archaea,12,63742.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natrialba,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2290931;183963;2235;1644061;63742
Candidatus Metalachnospira,Bacteria,12,2721107.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Clostridia incertae sedis;Candidatus Metalachnospira,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;1783272;1239;186801;189325;2721107
Candidatus Sulfomarinibacter,Bacteria,12,2885991.0,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Candidatus Sulfomarinibacteraceae;Candidatus Sulfomarinibacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;57723;1562571;2562241;2885993;2885991
Candidatus Symbiothrix,Bacteria,12,467084.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales incertae sedis;Candidatus Symbiothrix,cellular root;domain;kingdom;clade;clade;phylum;class;order;no rank;genus,131567;2;3379134;1783270;68336;976;200643;171549;333046;467084
Panacagrimonas,Bacteria,12,381430.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Panacagrimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;1775403;568386;381430
Methanocella,Archaea,12,570266.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2290931;224756;570264;570265;570266
Siphonobacter,Bacteria,12,700450.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Siphonobacter,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;768503;768507;89373;700450
Thermostichus,Bacteria,12,2881385.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Thermostichales;Thermostichaceae;Thermostichus,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;1783272;1798711;1117;3028117;2881383;2881384;2881385
Magnetococcus,Bacteria,12,162171.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Magnetococcia;Magnetococcales;Magnetococcaceae;Magnetococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;3118669;1191478;1191479;162171
Stieleria,Bacteria,12,2795973.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Stieleria,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;203682;203683;2691354;2691357;2795973
Brasilonema,Bacteria,12,383614.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Scytonemataceae;Brasilonema,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;1783272;1798711;1117;3028117;1161;1182;383614
Breoghania,Bacteria,12,1406135.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Breoghania,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;2821832;1406135
Methyloglobulus,Bacteria,12,1410680.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloglobulus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135618;403;1410680
Streptantibioticus,Bacteria,12,2995706.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptantibioticus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85011;2062;2995706
Vicingus,Bacteria,12,2058169.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Vicingaceae;Vicingus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;2772534;2058169
Oxalicibacterium,Bacteria,12,223927.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;75682;223927
Phaeovulum,Bacteria,12,2918791.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Phaeovulum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;2918791
Edaphocola,Bacteria,12,2601681.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Edaphocola,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;1853228;1853229;563835;2601681
Candidatus Berkiella,Bacteria,12,1755683.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Candidatus Berkiellales;Candidatus Berkiellaceae;Candidatus Berkiella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;3345221;3345222;1755683
Tomitella,Bacteria,12,741759.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriales incertae sedis;Tomitella,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;1783272;201174;1760;85007;697024;741759
Candidatus Marisimplicoccus,Bacteria,12,2953857.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Candidatus Marisimplicoccus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;246874;2953857
Candidatus Lightella,Bacteria,12,2974993.0,"cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae incertae sedis;ant, tsetse, mealybug, aphid, etc. endosymbionts;lice endosymbionts;Candidatus Lightella",cellular root;domain;kingdom;phylum;class;order;family;no rank;clade;clade;genus,131567;2;3379134;1224;1236;91347;543;191675;84563;337339;2974993
Lyngbya,Bacteria,12,28073.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Lyngbya,cellular root;domain;kingdom;clade;phylum;class;subclass;order;family;genus,131567;2;1783272;1798711;1117;3028117;1301283;1150;1892252;28073
Poseidonibacter,Bacteria,12,2321187.0,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Poseidonibacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;29547;3031852;213849;2808963;2321187
Candidatus Adiutrix,Bacteria,12,1705729.0,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfarculia;Candidatus Adiutricales;Candidatus Adiutricaceae;Candidatus Adiutrix,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200940;3031646;3031653;3031654;1705729
Candidatus Vidania,Bacteria,12,1191175.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Betaproteobacteria incertae sedis;Candidatus Vidania,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;3379134;1224;28216;119066;1191175
Candidatus Woodwardiibium,Bacteria,12,2721125.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Clostridia incertae sedis;Candidatus Woodwardiibium,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;1783272;1239;186801;189325;2721125
Solwaraspora,Bacteria,12,265431.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Solwaraspora,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85008;28056;265431
Candidatus Tumulicola,Bacteria,12,2829307.0,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota;Vulcanimicrobiia;Vulcanimicrobiales;Vulcanimicrobiaceae;Candidatus Tumulicola,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1154676;2829293;2599632;2829291;2829307
Candidatus Amulumruptor,Bacteria,12,2510710.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;171549;2005473;2510710
Thiolinea,Bacteria,12,2212691.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiolinaceae;Thiolinea,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;72273;2212439;2212691
Thioploca,Bacteria,12,40751.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thioploca,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;72273;135617;40751
Candidatus Aphodovivens,Bacteria,12,2840516.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriia incertae sedis;Candidatus Aphodovivens,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;1783272;201174;84998;2840481;2840516
Flectobacillus,Bacteria,12,101.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Flectobacillaceae;Flectobacillus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;768503;768507;3141701;101
Caenibius,Bacteria,12,2827482.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Caenibius,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204457;335929;2827482
Candidatus Onthocola,Bacteria,12,2840549.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacilli incertae sedis;Candidatus Onthocola,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;1783272;1239;91061;112452;2840549
Abditibacterium,Bacteria,12,2109263.0,cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;2109258;2109259;2109260;2109261;2109263
Candidatus Parabeggiatoa,Bacteria,12,1034941.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Candidatus Parabeggiatoa,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;72273;135617;1034941
Flintibacter,Bacteria,12,1918454.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Flintibacter,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;1783272;1239;186801;186802;538999;1918454
Beduini,Bacteria,12,1922299.0,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Beduini,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;526524;526525;128827;1922299
Mangrovibacterium,Bacteria,11,1573808.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mangrovibacterium,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;1970189;1471398;1573808
